trade_id,entry_signal_time,entry_time,signal,atr_expansion,pnl_bruto,pnl_neto,result,duration_hours,entry_allowed,experiment_id
83,2026-06-28 20:00:00+00:00,2026-06-29 00:00:00+00:00,SHORT,0.8163816383194661,-0.954488817837726,-1.2159160066748682,LOSS,64.0,True,atr14_not_above_20bar_mean
84,2026-07-01 12:00:00+00:00,2026-07-01 16:00:00+00:00,LONG,1.0762071572461978,4.042841982348225,3.777275595334861,WIN,64.0,False,atr14_not_above_20bar_mean
85,2026-07-04 04:00:00+00:00,2026-07-04 08:00:00+00:00,SHORT,0.8626769731535093,-0.3306202647200406,-0.6611734758202344,LOSS,124.0,True,atr14_not_above_20bar_mean
86,2026-07-09 08:00:00+00:00,2026-07-09 12:00:00+00:00,LONG,1.0246193594300632,1.6368182115147691,1.3846180934413477,WIN,60.0,False,atr14_not_above_20bar_mean
87,2026-07-11 20:00:00+00:00,2026-07-12 00:00:00+00:00,SHORT,0.8291025027795195,-1.4804862102970897,-1.7426502691181385,LOSS,64.0,True,atr14_not_above_20bar_mean
88,2026-07-14 12:00:00+00:00,2026-07-14 16:00:00+00:00,LONG,1.1244324863419288,-0.7737063438358452,-1.0025338959196892,LOSS,44.0,False,atr14_not_above_20bar_mean
89,2026-07-16 08:00:00+00:00,2026-07-16 12:00:00+00:00,SHORT,1.0046922043869382,0.3011213422476068,0.061453138249034,WIN,48.0,False,atr14_not_above_20bar_mean
90,2026-07-18 08:00:00+00:00,2026-07-18 12:00:00+00:00,LONG,0.8738090840766253,1.860753484130108,1.6082400581160434,WIN,60.0,True,atr14_not_above_20bar_mean
91,2026-07-20 20:00:00+00:00,2026-07-21 00:00:00+00:00,SHORT,1.1134002086195778,1.647535366203292,1.329753354217064,WIN,112.0,False,atr14_not_above_20bar_mean
92,2026-07-25 12:00:00+00:00,2026-07-25 16:00:00+00:00,LONG,0.8582061553942036,-0.669367623744938,-0.9183411561789948,LOSS,56.0,True,atr14_not_above_20bar_mean
93,2026-07-27 20:00:00+00:00,2026-07-28 00:00:00+00:00,SHORT,1.1833377719153444,-1.1914495603469586,-1.413208707594966,LOSS,36.0,False,atr14_not_above_20bar_mean
94,2026-07-29 08:00:00+00:00,2026-07-29 12:00:00+00:00,LONG,1.1693059020131582,-1.0863850595301792,-1.3247751426822654,LOSS,48.0,False,atr14_not_above_20bar_mean
95,2026-07-31 08:00:00+00:00,2026-07-31 12:00:00+00:00,SHORT,1.0152235892379782,0.4882454209352886,0.2588393591427914,WIN,44.0,False,atr14_not_above_20bar_mean
96,2026-08-02 04:00:00+00:00,2026-08-02 08:00:00+00:00,LONG,0.8449272850341529,1.767977563496563,1.4655939403147868,WIN,100.0,True,atr14_not_above_20bar_mean
97,2026-08-06 08:00:00+00:00,2026-08-06 12:00:00+00:00,SHORT,0.9468464968407492,0.592660485120778,0.2334006984387175,WIN,144.0,True,atr14_not_above_20bar_mean
98,2026-08-12 08:00:00+00:00,2026-08-12 12:00:00+00:00,LONG,1.050328390795282,0.1386135221384484,-0.2414904570802174,LOSS,160.0,False,atr14_not_above_20bar_mean
99,2026-08-19 00:00:00+00:00,2026-08-19 04:00:00+00:00,SHORT,1.159053519982145,-23.55314380454241,-24.016229459324894,LOSS,200.0,False,atr14_not_above_20bar_mean
100,2026-08-27 08:00:00+00:00,2026-08-27 12:00:00+00:00,LONG,0.8924793422510497,0.2588113559776375,0.0585392079155889,WIN,20.0,True,atr14_not_above_20bar_mean
